No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kindingan;6307030002;Kindingan;63.07.09.2009
2;Haruyan Dayak;6307030003;Haruyan Dayak;63.07.09.2008
3;Tilahan;6307030007;Tilahan;63.07.09.2007
4;Pasting;6307030008;Pasting;63.07.09.2006
5;Batu Tunggal;6307030009;Batu Tunggal;63.07.09.2005
6;Bulayak;6307030010;Bulayak;63.07.09.2004
7;Murung B;6307030012;Murung B.;63.07.09.2003
8;Datar Ajab;6307030017;Datar Ajab;63.07.09.2010
9;Alat;6307030018;Alat;63.07.09.2002
10;Hantakan;6307030020;Hantakan;63.07.09.2001
11;Hinas Kanan;6307030021;Hinas Kanan;63.07.09.2011
12;Patikalain;6307030022;Patikalain;63.07.09.2012
