No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mangkirana;6302130001;Mangkirana;63.02.08.2009
2;Cantung Kiri Hilir;6302130002;Cantung Kiri Hilir;63.02.08.2001
3;Banua Lawas;6302130003;Banua Lawas;63.02.08.2003
4;Sidomulyo;6302130004;Sidomulyo;63.02.08.2010
5;Karang Payau;6302130005;Karang Payau;63.02.08.2002
6;Sungai Kupang;6302130006;Sungai Kupang;63.02.08.2004
7;Bangkalan Melayu;6302130007;Bangkalan Melayu;63.02.08.2005
8;Karang Liwar;6302130008;Karang Liwar;63.02.08.2008
9;Bangkalan Dayak;6302130009;Bangkalan Dayak;63.02.08.2006
10;Laburan;6302130010;Laburan;63.02.08.2007
