No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tanjung Kunyit;6302021001;Tanjung Kunyit;63.02.21.2004
2;Tanjung Tengah;6302021002;Tanjung Tengah;63.02.21.2003
3;Teluk Tamiang;6302021003;Teluk Tamiyang;63.02.21.2005
4;Gosong Panjang;6302021004;Gosong Panjang;63.02.21.2006
5;Kampung Baru;6302021005;Kampung Baru;63.02.21.2007
6;Tanjung Sungkai;6302021006;Tanjung Sungkai;63.02.21.2002
7;Tanjung Pelayar;6302021007;Tanjung Pelayar;63.02.21.2001
8;Banda Raya;6302021008;Bandar Raya;63.02.21.2009
9;Tata Mekar;6302021009;Tata Mekar;63.02.21.2008
10;Bangun Rejo;6302021010;Bangun Rejo;63.02.21.2010
