No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sungai Cuka;6310030001;Sungaicuka;63.10.04.2005
2;Sejahtera Mulia;6310030002;Sejahtera Mulia;63.10.04.2022
3;Sejahtera Mulia;6310030002;Sejahtera Mulia;63.10.04.2022
4;Jombang;6310030003;Jombang;63.10.04.2006
5;Sungai Danau;6310030004;Sungaidanau;63.10.04.2010
6;Satui Timur;6310030005;Satui Timur;63.10.04.2004
7;Satui Barat;6310030007;Satui Barat;63.10.04.2008
8;Setarap;6310030008;Setarap;63.10.04.2003
9;Tegal Sari;6310030016;Tegal Sari;63.10.04.2013
10;Sekapuk;6310030017;Sekapuk;63.10.04.2009
11;Sumber Makmur;6310030018;Sumber Makmur;63.10.04.2012
12;Wonorejo;6310030019;Wonorejo;63.10.04.2011
13;Sumber Arum;6310030020;Sumber Arum;63.10.04.2019
14;Makmur Mulia;6310030021;Makmur Mulia;63.10.04.2024
15;Al Kautsar;6310030022;Al Kautsar;63.10.04.2023
16;Sinar Bulan;6310030025;Sinar Bulan;63.10.04.2025
17;Pendamaran Jaya;6310030026;Pandamaran Jaya;63.10.04.2026
