No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Parempei;6211020001;Parempei;62.10.05.2019
2;Talangkah;6211020002;Talangkah;62.10.05.2018
3;Luwuk Langkuas;6211020003;Luwuk Langkuas;62.10.05.2017
4;Tumbang Kajuei;6211020004;Tumbang Kajuei;62.10.05.2015
5;Luwuk Kantor;6211020005;Luwuk Kantor;62.10.05.2016
6;Tumbang Bunut;6211020006;Tumbang Bunut;62.10.05.2014
7;Tumbang Jutuh;6211020008;Tumbang Jutuh;62.10.05.2001
8;Linau;6211020009;Linau;62.10.05.2020
9;Tumbang Baringei;6211020010;Tumbang Baringei;62.10.05.2002
10;Tumbang Malahoi;6211020011;Tumbang Malahoi;62.10.05.2009
11;Jakatan Raya;6211020015;Jakatan Raya;62.10.05.1021
12;Bereng Baru;6211020016;Bereng Baru;62.10.05.2022
13;Bereng Malaka;6211020017;Bereng Malaka;62.10.05.2023
14;Karya Bakti;6211020020;Karya Bhakti;62.10.05.2027
