No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pegatan Hilir;6209010001;Pagatan Hilir;62.06.10.1001
2;Pegatan Hulu;6209010002;Pagatan Hulu;62.06.10.1002
3;Jaya Makmur;6209010003;Jaya Makmur;62.06.10.2005
4;Subur Indah;6209010004;Subur Indah;62.06.10.2006
5;Keramat;6209010005;Kampung Keramat;62.06.10.2003
6;Singam Raya;6209010006;Singam Raya;62.06.10.2010
7;Bangun Jaya;6209010007;Bangun Jaya;62.06.10.2008
8;Kampung Tengah;6209010008;Kampung Tengah;62.06.10.2004
9;Kampung Baru;6209010009;Kampung Baru;62.06.10.2007
10;Setia Mulia;6209010010;Setia Mulia;62.06.10.2009
11;Sebangau Jaya;6209010011;Sebangau Jaya;62.06.10.2011
12;Sungai Kaki;6209010012;Sungai Kaki;62.06.10.2012
13;Selat Baning;6209010013;Selat Baning;62.06.10.2013
14;Makmur Utama;6209010014;Makmur Utama;62.06.10.2014
15;Bumi Subur;6209010015;Bumi Subur;62.06.10.2015
16;Bakung Raya;6209010016;Bakung Raya;62.06.10.2016
