No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tumbang Mandurei;6209100001;Tumbang Mandurei;62.06.07.2001
2;Tumbang Paku;6209100002;Tumbang Paku;62.06.07.2002
3;Buntut Leleng;6209100003;Buntut Leleng;62.06.07.2003
4;Kuluk Leleng;6209100004;Kuluk Leleng;62.06.07.2004
5;Rangan Surai;6209100005;Rangan Surai;62.06.07.2008
6;Tumbang Hiran;6209100006;Tumbang Hiran;62.06.07.2009
7;Tumbang Pahanei;6209100007;Tumbang Pahanei;62.06.07.2010
8;Tumbang Dakei;6209100008;Tumbang Dakei;62.06.07.2011
9;Rangan Burih;6209100009;Rangan Burih;62.06.07.2012
10;Tumbang Bemban;6209100010;Tumbang Bemban;62.06.07.2013
11;Tumbang Lambi;6209100011;Tumbang Lambi;62.06.07.2014
12;Rangan Tangko;6209100012;Rangan Tangko;62.06.07.2015
13;Tumbang Taei;6209100013;Tumbang Taei;62.06.07.2007
14;Tumbang Malaman;6209100014;Tumbang Malawan;62.06.07.2006
15;Sebaung;6209100015;Sabaung;62.06.07.2005
16;Tumbang Tundu;6209100016;Tumbang Tundu;62.06.07.2016
17;Tumbang Tabulus;6209100017;Tumbang Tabulus;62.06.07.2018
18;Batu Panahan;6209100018;Batu Panahan;62.06.07.2017
