No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sungai Cabang;6201060001;Sungai Cabang;62.01.01.2001
2;Teluk Pulai;6201060002;Teluk Pulai;62.01.01.2002
3;Sungai Sekonyer;6201060003;Sungai Sekonyer;62.01.01.2014
4;Kubu;6201060004;Kubu;62.01.01.2007
5;Sungai Bakau;6201060005;Sungai Bakau;62.01.01.2006
6;Teluk Bogam;6201060006;Teluk Bogam;62.01.01.2005
7;Keraya;6201060007;Keraya;62.01.01.2004
8;Sebuai;6201060008;Sabuai;62.01.01.2003
9;Sungai Kapitan;6201060009;Sungai Kapitan;62.01.01.2008
10;Kumai Hilir;6201060010;Kumai Hilir;62.01.01.1013
11;Batu Belaman;6201060011;Batu Belaman;62.01.01.2009
12;Sungai Tendang;6201060012;Sungai Tendang;62.01.01.2010
13;Candi;6201060013;Candi;62.01.01.1011
14;Kumai Hulu;6201060014;Kumai Hulu;62.01.01.1012
15;Sungai Bedaun;6201060015;Sungai Bedaun;62.01.01.2015
16;Sabuai Timur;6201060016;Sebuai Timur;62.01.01.2034
17;Bumi Harjo;6201060031;Bumi Harjo;62.01.01.2017
18;Pangkalan Satu;6201060032;Pangkalan Satu;62.01.01.2032
