No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pangkalan Banteng;6201061001;Pangkalan Banteng;62.01.06.2001
2;Mulya Jadi;6201061002;Mulya Jadi;62.01.06.2002
3;Amin Jaya;6201061003;Amin Jaya;62.01.06.2007
4;Natai Kerbau;6201061004;Natai Kerbau;62.01.06.2009
5;Karangmulya;6201061005;Karang Mulya;62.01.06.2003
6;Marga Mulya;6201061006;Marga Mulya;62.01.06.2006
7;Arga Mulya;6201061007;Arga Mulya;62.01.06.2008
8;Kebun Agung;6201061008;Kebun Agung;62.01.06.2004
9;Sido Mulyo;6201061009;Sido Mulyo;62.01.06.2005
10;Simpang Berambai;6201061010;Simpang Berambai;62.01.06.2010
11;Sungai Hijau;6201061011;Sungai Hijau;62.01.06.2011
12;Sungai Bengkuang;6201061012;Sungai Bengkuang;62.01.06.2016
13;Sungai Kuning;6201061013;Sungai Kuning;62.01.06.2017
14;Sungai Pakit;6201061014;Sungai Pakit;62.01.06.2012
15;Berambai Makmur;6201061015;Berambai Makmur;62.01.06.2013
16;Karang Sari;6201061016;Karang Sari;62.01.06.2014
17;Sungai Pulau;6201061017;Sungai Pulau;62.01.06.2015
