No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pelangsian;6202060001;Pelangsian;62.02.06.2005
2;Ketapang;6202060003;Ketapang;62.02.06.1003
3;Mentawa Baru Hilir;6202060004;Mentawa Baru Hilir;62.02.06.1002
4;Mentawa Baru Hulu;6202060005;Mentawa Baru Hulu;62.02.06.1001
5;Sawahan;6202060006;Sawahan;62.02.06.1007
6;Bapeang;6202060007;Bapeang;62.02.06.2006
7;Eka Bahurui;6202060008;Eka Bahurui;62.02.06.2008
8;Pasir Putih;6202060009;Pasir Putih;62.02.06.1009
9;Telaga Baru;6202060010;Telaga Baru;62.02.06.2010
10;Bengkuang Makmur;6202060011;Bangkuang Makmur;62.02.06.2011
11;Bapanggang Raya;6202060012;Bapanggang Raya;62.02.06.2012
