No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Satiruk;6202050001;Satiruk;62.02.09.2004
2;Bapinang Hilir Laut;6202050002;Bapinang Hilir Laut;62.02.09.2003
3;Bapinang Hilir;6202050003;Bapinang Hilir;62.02.09.2002
4;Bapinang Hulu;6202050004;Bapinang Hulu;62.02.09.2001
5;Makarti Jaya;6202050005;Makarti Jaya;62.02.09.2005
6;Rawa Sari;6202050006;Rawa Sari;62.02.09.2006
7;Babirah;6202050007;Babirah;62.02.09.2008
8;Hanaut;6202050008;Hanaut;62.02.09.2007
9;Serambut;6202050009;Serambut;62.02.09.2009
10;Babaung;6202050010;Babaung;62.02.09.2010
11;Bantian;6202050011;Bantian;62.02.09.2014
12;Hantipan;6202050012;Hantipan;62.02.09.2013
13;Penyaguan;6202050013;Penyaguan;62.02.09.2012
14;Bamadu;6202050014;Bamadu;62.02.09.2011
