No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Purworejo;6402091001;Linggang Purworejo;64.07.19.2006
2;Kelubaq;6402091002;Linggang Kelubaq;64.07.19.2005
3;Tering Seberang;6402091003;Linggang Tering Seberang;64.07.19.2003
4;Tering Lama;6402091004;Tering Lama;64.07.19.2002
5;Tering Baru;6402091005;Tering Baru;64.07.19.2001
6;Jelemuq;6402091006;Linggang Jelemuq;64.07.19.2007
7;Muyub Ulu;6402091007;Muyub Ulu;64.07.19.2010
8;Tukul;6402091008;Tukul;64.07.19.2004
9;Muara Mujan;6402091009;Linggang Muara Mujan;64.07.19.2009
10;Kalian Dalam;6402091010;Kelian Dalam;64.07.19.2008
11;Muyup Ilir;6402091011;Linggang Muyub Ilir;64.07.19.2013
12;Muyut Aket;6402091012;Muyub Aket;64.07.19.2011
13;Gabung Baru;6402091013;Gabung Baru;64.07.19.2014
14;Banjarejo;6402091014;Linggang Banjarejo;64.07.19.2015
15;Tering Lama Ulu;6402091015;Tering Lama Ulu;64.07.19.2016
