No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lempesu;6401030001;Lempesu;64.01.03.2001
2;Bekoso;6401030002;Bekoso;64.01.03.2002
3;Damit;6401030003;Damit;64.01.03.2003
4;Sangkuriman;6401030004;Sangkuriman;64.01.03.2007
5;Suatang;6401030005;Suatang;64.01.03.2004
6;Keresik Bura;6401030006;Keresik Bura;64.01.03.2010
7;Pasir Belengkong;6401030007;Pasir Belengkong;64.01.03.2006
8;Seniung Jaya;6401030008;Seniung Jaya;64.01.03.2012
9;Suliliran Baru;6401030009;Suliliran Baru;64.01.03.2009
10;Suliliran;6401030010;Suliliran;64.01.03.2005
11;Laburan Baru;6401030011;Laburan Baru;64.01.03.2011
12;Laburan;6401030012;Laburan;64.01.03.2008
13;Olong Pinang;6401030013;Olong Pinang;64.01.03.2014
14;Sunge Batu;6401030014;Sunge Batu;64.01.03.2013
15;Suatang Keteban;6401030015;Suatang Keteban;64.01.03.2015
