No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sembuak Warod;6501130001;Sembuak Warod;65.02.07.2009
2;Luso;6501130002;Luso;65.02.07.2002
3;Respen Tubu;6501130003;Respen Tubu;65.02.07.2007
4;Kaliamok;6501130004;Kaliamok;65.02.07.2001
5;Malinau Seberang;6501130005;Malinau Seberang;65.02.07.2003
6;Lubok Manis;6501130006;Lubak Manis;65.02.07.2010
7;Semengaris;6501130007;Semengaris;65.02.07.2012
8;Kelapis;6501130008;Kelapis;65.02.07.2011
9;Belayan;6501130009;Belayan;65.02.07.2008
10;Putat;6501130010;Putat;65.02.07.2004
11;Salap;6501130011;Salap;65.02.07.2005
12;Seruyung;6501130012;Seruyung;65.02.07.2006
