No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Belatikan;6504080001;Balatikon;65.03.14.2012
2;Naputi;6504080002;Naputi;65.03.14.2010
3;Tau Baru;6504080003;Tau Baru;65.03.14.2011
4;Tinampak Ii;6504080004;Tinampak Ii;65.03.14.2009
5;Tinampak I;6504080005;Tinampak I;65.03.14.2008
6;Salang;6504080006;Salang;65.03.14.2007
7;Tembalang;6504080007;Tembalang;65.03.14.2006
8;Kalun Sayan;6504080008;Kalunsayan;65.03.14.2005
9;Sekikilan;6504080009;Sekikilan;65.03.14.2004
10;Semunad;6504080010;Semunad;65.03.14.2003
11;Sanur;6504080011;Sanur;65.03.14.2001
12;Makmur;6504080012;Makmur;65.03.14.2002
