No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Belakang Padang;2171010;Belakang Padang;21.71.01
2;Bulang;2171020;Bulang;21.71.05
3;Galang;2171030;Galang;21.71.08
4;Sei Beduk;2171040;Sei Beduk;21.71.07
5;Sagulung;2171041;Sagulung;21.71.11
6;Nongsa;2171050;Nongsa;21.71.04
7;Batam Kota;2171051;Batam Kota;21.71.10
8;Sekupang;2171060;Sekupang;21.71.03
9;Batu Aji;2171061;Batu Aji;21.71.12
10;Lubuk Baja;2171070;Lubuk Baja;21.71.06
11;Batu Ampar;2171080;Batu Ampar;21.71.02
12;Bengkong;2171081;Bengkong;21.71.09
