No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Jondong;1803110016;Jondong;18.01.06.2001
2;Tengkujuh;1803110017;Tengkujuh;18.01.06.2002
3;Pauh Tanjung Iman;1803110018;Pauh Tanjung Iman;18.01.06.2003
4;Maja;1803110019;Maja;18.01.06.2005
5;Bumi Agung;1803110020;Bumi Agung;18.01.06.1006
6;Kalianda;1803110021;Kalianda;18.01.06.1007
7;Sumur Kumbang;1803110022;Sumur Kumbang;18.01.06.2004
8;Buah Berak;1803110023;Buah Berak;18.01.06.2009
9;Kesugihan;1803110024;Kesugihan;18.01.06.2010
10;Pematang;1803110025;Pematang;18.01.06.2011
11;Kecapi;1803110026;Kecapi;18.01.06.2012
12;Babulang;1803110027;Babulang;18.01.06.2013
13;Sukaratu;1803110028;Sukaratu;18.01.06.2014
14;Palembapang;1803110029;Palembapang;18.01.06.2015
15;Tajimalela;1803110030;Tajimalela;18.01.06.2016
16;Marga Catur;1803110031;Margacatur;18.01.06.2023
17;Suka Tani;1803110032;Sukatani;18.01.06.2024
18;Canggu;1803110033;Canggu;18.01.06.2017
19;Kedaton;1803110034;Kedaton;18.01.06.2018
20;Way Urang;1803110035;Way Urang;18.01.06.1008
21;Merak Belantung;1803110036;Merak Belatung;18.01.06.2019
22;Gunung Terang;1803110037;Gunung Terang;18.01.06.2022
23;Munjuk Sempurna;1803110038;Munjuk Sampurna;18.01.06.2021
24;Bulok;1803110039;Bulok;18.01.06.2020
25;Agom;1803110040;Agom;18.01.06.2025
26;Negeri Pandan;1803110041;Negeri Pandan;18.01.06.2026
27;Taman Agung;1803110042;Taman Agung;18.01.06.2027
28;Wai Lubuk;1803110043;Wai Lubuk;18.01.06.1028
29;Hara Banjar Manis;1803110044;Hara Banjar Manis;18.01.06.2029
