No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bakti Rasa;1803121001;Baktirasa;18.01.15.2002
2;Sukapura;1803121002;Sukapura;18.01.15.2004
3;Mandalasari;1803121003;Mandala Sari;18.01.15.2003
4;Sumber Sari;1803121004;Sumber Sari;18.01.15.2007
5;Margajasa;1803121005;Marga Jasa;18.01.15.2006
6;Kedaung;1803121006;Kedaung;18.01.15.2009
7;Sumber Agung;1803121007;Sumber Agung;18.01.15.2005
8;Kuala Sekampung;1803121008;Kuala Sekampung;18.01.15.2001
9;Bandar Agung;1803121009;Bandar Agung;18.01.15.2008
10;Margasari;1803121010;Margasari;18.01.15.2010
