No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kota Batu;1805012001;Kota Batu;18.02.19.2001
2;Tawang Negeri;1805012002;Tawang Negeri;18.02.19.2016
3;Payung Makmur;1805012003;Payung Makmur;18.02.19.2014
4;Payung Dadi;1805012004;Payung Dadi;18.02.19.2013
5;Payung Rejo;1805012005;Payung Rejo;18.02.19.2007
6;Tanjung Rejo;1805012006;Tanjung Rejo;18.02.19.2015
7;Sangun Ratu;1805012007;Sangun Ratu;18.02.19.2002
8;Gunung Raya;1805012008;Gunung Raya;18.02.19.2003
9;Gunung Haji;1805012009;Gunung Haji;18.02.19.2004
10;Negeri Ratu;1805012010;Negri Ratu;18.02.19.2005
11;Tanjung Kemala;1805012011;Tanjung Kemala;18.02.19.2006
12;Negeri Kepayungan;1805012012;Negeri Kepayungan;18.02.19.2009
13;Payung Batu;1805012013;Payung Batu;18.02.19.2008
14;Segala Mider;1805012014;Segala Mider;18.02.19.2010
15;Sinar Negeri;1805012016;Sinar Negeri;18.02.19.2017
16;Riau Periangan;1805012017;Riau Priangan;18.02.19.2012
17;Pekandangan;1805012018;Pekandangan;18.02.19.2018
18;Payung Mulya;1805012019;Payung Mulya;18.02.19.2019
19;Padang Rejo;1805012020;Padang Rejo;18.02.19.2020
