No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Baru Raharja;1806080010;Baru Raharja;18.03.08.2028
2;Ogan Jaya;1806080012;Ogan Jaya;18.03.08.2005
3;Bangun Jaya;1806080013;Bangun Jaya;18.03.08.2024
4;Negeri Ratu;1806080019;Negeri Ratu;18.03.08.2012
5;Padang Ratu;1806080020;Padang Ratu;18.03.08.2010
6;Negeri Sakti;1806080021;Negeri Sakti;18.03.08.2011
7;Ciamis;1806080022;Ciamis;18.03.08.2009
8;Gedung Batin;1806080024;Gedung Batin;18.03.08.2021
9;Negara Batin;1806080025;Negara Batin;18.03.08.2022
10;Batu Raja;1806080026;Batu Raja;18.03.08.2020
11;Negara Ratu;1806080027;Negara Ratu;18.03.08.2019
12;Kota Negara;1806080029;Kota Negara;18.03.08.2023
13;Hanakau Jaya;1806080030;Hanakau Jaya;18.03.08.2029
14;Negara Batin Ii;1806080031;Negara Batin Ii;18.03.08.2032
15;Kota Negara Ilir;1806080032;Kota Negara Ilir;18.03.08.2033
