No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Batu Menyan;1809021001;Batu Menyan;18.09.10.2001
2;Gebang;1809021002;Gebang;18.09.10.2003
3;Sidodadi;1809021003;Sidodadi;18.09.10.2007
4;Hanura;1809021004;Hanura;18.09.10.2004
5;Cilimus;1809021005;Cilimus;18.09.10.2002
6;Hurun;1809021006;Hurun;18.09.10.2005
7;Sukajaya Lempasing;1809021007;Sukajaya Lempasing;18.09.10.2008
8;Munca;1809021008;Munca;18.09.10.2006
9;Tanjung Agung;1809021009;Tanjung Agung;18.09.10.2010
10;Talang Mulyo;1809021010;Talang Mulya;18.09.10.2009
