No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sumber Jaya;1809022001;Sumber Jaya;18.09.11.2005
2;Bunut Seberang;1809022002;Bunut Seberang;18.09.11.2002
3;Ceringin Asri;1809022003;Ceringin Sari;18.09.11.2004
4;Poncorejo;1809022004;Poncorejo;18.09.11.2007
5;Gunung Rejo;1809022005;Gunung Rejo;18.09.11.2008
6;Mulyosari;1809022006;Mulyo Sari;18.09.11.2006
7;Wates Way Ratai;1809022007;Wates Way Ratai;18.09.11.2003
8;Bunut;1809022008;Bunut;18.09.11.2001
9;Pesawaran Indah;1809022009;Pesawaran Indah;18.09.11.2009
10;Harapan Jaya;1809022010;Harapan Jaya;18.09.11.2010
