No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Parerejo;1810050001;Parerejo;18.10.02.2001
2;Blitarejo;1810050002;Blitarejo;18.10.02.2002
3;Panjerejo;1810050003;Panjerejo;18.10.02.2003
4;Bulukarto;1810050004;Bulokarto;18.10.02.2004
5;Wates;1810050005;Wates;18.10.02.2005
6;Bulurejo;1810050006;Bulurejo;18.10.02.2011
7;Tambak Rejo;1810050007;Tambahrejo;18.10.02.2006
8;Wonodadi;1810050008;Wonodadi;18.10.02.2007
9;Gading Rejo;1810050009;Gadingrejo;18.10.02.2008
10;Tegalsari;1810050010;Tegalsari;18.10.02.2009
11;Tulung Agung;1810050011;Tulung Agung;18.10.02.2010
12;Jogyakarta;1810050012;Yogyakarta;18.10.02.2012
13;Kediri;1810050013;Kediri;18.10.02.2013
14;Mataram;1810050014;Mataram;18.10.02.2014
15;Wonosari;1810050015;Wonosari;18.10.02.2015
16;Klaten;1810050016;Klaten;18.10.02.2016
17;Wates Timur;1810050017;Wates Timur;18.10.02.2017
18;Wates Selatan;1810050018;Wates Selatan;18.10.02.2018
19;Gading Rejo Timur;1810050019;Gading Rejo Timur;18.10.02.2019
20;Gading Rejo Utara;1810050020;Gading Rejo Utara;18.10.02.2020
21;Tambah Rejo Barat;1810050021;Tambah Rejo Barat;18.10.02.2021
22;Yogyakarta Selatan;1810050022;Yogyakarta Selatan;18.10.02.2023
23;Wonodadi Utara;1810050023;Wonodadi Utara;18.10.02.2022
