No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Banjar Agung;1808030007;Banjar Agung;18.05.08.2001
2;Tunggal Warga;1808030008;Tunggal Warga;18.05.08.2010
3;Dwi Warga Tunggal Jaya;1808030009;Dwi Warga Tunggal Jaya;18.05.08.2011
4;Moris Jaya;1808030010;Moris Jaya;18.05.08.2009
5;Tri Dharma Wirajaya;1808030011;Tri Dharma Wira Jaya;18.05.08.2007
6;Tri Mulya Jaya;1808030012;Tri Mulya Jaya;18.05.08.2019
7;Tri Tunggal Jaya;1808030014;Tri Tunggal Jaya;18.05.08.2021
8;Warga Makmur Jaya;1808030015;Warga Makmur Jaya;18.05.08.2022
9;Warga Indah Jaya;1808030016;Warga Indah Jaya;18.05.08.2023
10;Banjar Dewa;1808030017;Banjar Dewa;18.05.08.2024
