No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Banjar Masin;1807020014;Banjar Masin;18.08.04.2020
2;Banjar Mulia;1807020016;Banjar Mulya;18.08.04.2021
3;Banjar Baru;1807020017;Banjar Baru;18.08.04.2022
4;Banjar Negara;1807020018;Banjar Negara;18.08.04.2019
5;Banjar Setia;1807020019;Banjar Setia;18.08.04.2010
6;Mekar Asri;1807020020;Mekar Asri;18.08.04.2018
7;Campur Asri;1807020022;Campur Asri;18.08.04.1016
8;Taman Asri;1807020024;Taman Asri;18.08.04.1009
9;Tiuh Balak Pasar;1807020025;Tiuh Balak Pasar;18.08.04.1015
10;Setia Negara;1807020026;Setia Negara;18.08.04.2001
11;Bhakti Negara;1807020027;Bhakti Negara;18.08.04.2006
12;Tiuh Balak I;1807020028;Tiuh Balak I;18.08.04.2014
13;Gedung Pakuon;1807020029;Gedung Pakuon;18.08.04.2002
14;Cugah;1807020030;Cugah;18.08.04.2013
15;Bumi Merapi;1807020031;Bumi Merapi;18.08.04.2003
16;Bumi Rejo;1807020032;Bumi Rejo;18.08.04.2007
17;Banjar Sari;1807020033;Banjar Sari;18.08.04.2004
18;Sukosari;1807020034;Sukosari;18.08.04.2008
19;Gunung Katun;1807020038;Gunung Katun;18.08.04.2005
