No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Setia Negara;1807061001;Setia Negara;18.08.11.2004
2;Purwa Agung;1807061002;Purwa Agung;18.08.11.2002
3;Sri Mulyo;1807061003;Sri Mulyo;18.08.11.2005
4;Sri Menanti;1807061004;Sri Menanti;18.08.11.2006
5;Negara Batin;1807061005;Negara Batin;18.08.11.2001
6;Purwa Negara;1807061006;Purwa Negara;18.08.11.2003
7;Marga Jaya;1807061007;Marga Jaya;18.08.11.2009
8;Karta Jaya;1807061008;Karta Jaya;18.08.11.2007
9;Gedong Jaya;1807061009;Gedung Jaya;18.08.11.2011
10;Adi Jaya;1807061010;Adi Jaya;18.08.11.2012
11;Sari Jaya;1807061011;Sari Jaya;18.08.11.2013
12;Gisting Jaya;1807061012;Gisting Jaya;18.08.11.2008
13;Bumi Jaya;1807061013;Bumi Jaya;18.08.11.2010
14;Negara Mulya;1807061014;Negara Mulya;18.08.11.2014
15;Kota Jawa;1807061015;Kota Jawa;18.08.11.2015
