No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rioribati;8201091001;Rioribati;82.01.05.2014
2;Toniku;8201091002;Toniku;82.01.05.2013
3;Tewe;8201091003;Tewe;82.01.05.2012
4;Dodinga;8201091004;Dodinga;82.01.05.2011
5;Akelaha;8201091005;Akelaha;82.01.05.2010
6;Akeara;8201091006;Akeara;82.01.05.2009
7;Tuguraci;8201091007;Tuguraci;82.01.05.2008
8;Biamaahi;8201091008;Biamaahi;82.01.05.2007
9;Ake Jailolo;8201091009;Akejailolo;82.01.05.2006
10;Sidangoli Dehe;8201091010;Sidongoli Dehe;82.01.05.2002
11;Sidangoli Gam;8201091011;Sidangoli Gam;82.01.05.2001
12;Domato;8201091012;Domato;82.01.05.2003
13;Gamlenge;8201091013;Gamlenge;82.01.05.2005
14;Tataleka;8201091014;Tataleka;82.01.05.2004
15;Tabadamai;8201091015;Taba Damai (Db);82.01.05.2021
16;Braha;8201091016;Braha;82.01.05.2023
17;Bangkit Rahmat;8201091017;Bangkit Rahmat;82.01.05.2024
18;Moiso;8201091018;Moiso;82.01.05.2022
19;Suka Damai;8201091019;Suka Damai;82.01.05.2026
20;Hijrah;8201091020;Hijrah;82.01.05.2027
21;Bobane Dano;8201091021;Bobane Dano;82.01.05.2025
22;Ratem;8201091022;Ratem;82.01.05.2028
