No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Buli Asal;8206040010;Buli Asal;82.06.02.2002
2;Buli Karya;8206040011;Buli Karya;82.06.02.2003
3;Buli;8206040012;Buli;82.06.02.2001
4;Wayafli;8206040013;Wayafly;82.06.02.2011
5;Sailal;8206040014;Sailal;82.06.02.2012
6;Geltoli;8206040015;Geltoli;82.06.02.2013
7;Pekaulang;8206040016;Pekaulan;82.06.02.2014
8;Teluk Buli;8206040017;Teluk Buli;82.06.02.2023
9;Gamesan;8206040018;Gamesan;82.06.02.2024
10;Baburino;8206040019;Baburino;82.06.02.2025
