No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Malifut;8205010;Malifut;82.03.08
2;Kao Teluk;8205011;Kao Teluk;82.03.22
3;Kao;8205020;Kao;82.03.07
4;Kao Barat;8205021;Kao Barat;82.03.21
5;Kao Utara;8205022;Kao Utara;82.03.20
6;Tobelo Selatan;8205030;Tobelo Selatan;82.03.06
7;Tobelo Barat;8205031;Tobelo Barat;82.03.13
8;Tobelo Timur;8205032;Tobelo Timur;82.03.12
9;Tobelo;8205040;Tobelo;82.03.05
10;Tobelo Tengah;8205041;Tobelo Tengah;82.03.11
11;Tobelo Utara;8205042;Tobelo Utara;82.03.10
12;Galela;8205050;Galela;82.03.04
13;Galela Selatan;8205051;Galela Selatan;82.03.16
14;Galela Barat;8205052;Galela Barat;82.03.14
15;Galela Utara;8205053;Galela Utara;82.03.15
16;Loloda Utara;8205060;Loloda Utara;82.03.09
17;Loloda Kepulauan;8205061;Loloda Kepulauan;82.03.19
