No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pasir Putih;8205011001;Pasir Putih;82.03.22.2006
2;Bobaneigo;8205011002;Bobaneigo;82.03.22.2007
3;Tetewang;8205011003;Tetewang;82.03.22.2008
4;Akelamo Kao;8205011004;Akelamo Kao;82.03.22.2009
5;Gamsungi;8205011005;Gamsungi;82.03.22.2010
6;Dum Dum;8205011006;Dum-dum;82.03.22.2011
7;Tiowor;8205011007;Tiowor;82.03.22.2001
8;Tabanoma;8205011008;Tobanoma;82.03.22.2003
9;Kuntum Mekar;8205011009;Kuntum Mekar;82.03.22.2005
10;Barumadehe;8205011010;Barumadehe;82.03.22.2004
11;Makaeling;8205011011;Makaeling;82.03.22.2002
12;Toigo;8205011012;---;---
13;Akelamo Kao Cibok;8205011013;Sosol_malifut;82.03.08.2025
