No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ufung;8208060001;Ufung;82.08.04.2014
2;Natang Kuning;8208060002;Natang Kuning;82.08.04.2016
3;Nunu;8208060003;Nunu;82.08.04.2017
4;Padang;8208060004;Padang;82.08.04.2015
5;Tikong;8208060005;Tikong;82.08.04.2010
6;Sahu;8208060006;Sahu;82.08.04.2007
7;Air Bulan;8208060007;Air Bulan;82.08.04.2012
8;Nunca;8208060008;Nunca;82.08.04.2006
9;Minton;8208060009;Minton;82.08.04.2005
10;Gela;8208060010;Gela;82.08.04.2004
11;London;8208060011;London;82.08.04.2018
12;Dege;8208060012;Dege;82.08.04.2011
13;Hai;8208060013;Hai;82.08.04.2009
14;Air Kalimat;8208060014;Air Kalimat;82.08.04.2013
15;Jorjoga;8208060015;Jorjoga;82.08.04.2003
16;Tanjung Una;8208060016;Tanjung Una;82.08.04.2002
17;Mananga;8208060017;Mananga;82.08.04.2001
18;Wahe;8208060018;Wahe;82.08.04.2019
19;Mbono;8208060019;Bua Mbono;82.08.04.2008
