No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ponom;8105021001;Ponom;81.07.07.2009
2;Wailay;8105021002;Wailay;81.07.07.2007
3;Kaiwabar;8105021003;Kaiwabar;81.07.07.2008
4;Basada;8105021004;Basada;81.07.07.2006
5;Kobror;8105021005;Kobror;81.07.07.2005
6;Warjukur;8105021006;Warjukur;81.07.07.2004
7;Lola;8105021007;Lola;81.07.07.2010
8;Mariri;8105021008;Mariri;81.07.07.2011
9;Warloy;8105021009;Warloy;81.07.07.2003
10;Koijabi;8105021010;Koijabi;81.07.07.2001
11;Balatan;8105021011;Balatan;81.07.07.2002
12;Dosinamalau;8105021012;Dosinamalau;81.07.07.2012
13;Karawai;8105021013;Karawai;81.07.07.2013
