No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Aru Selatan;8105010;Aru Selatan;81.07.02
2;Aru Selatan Timur;8105011;Aru Selatan Timur;81.07.09
3;Aru Selatan Utara;8105012;Aru Selatan Utara;81.07.10
4;Aru Tengah;8105020;Aru Tengah;81.07.03
5;Aru Tengah Timur;8105021;Aru Tengah Timur;81.07.07
6;Aru Tengah Selatan;8105022;Aru Tengah Selatan;81.07.08
7;Pulau-pulau Aru;8105030;Pulau-pulau Aru;81.07.01
8;Aru Utara;8105031;Aru Utara;81.07.04
9;Aru Utara Timur Batuley;8105032;Aru Utara Timur Batuley;81.07.05
10;Sir-sir;8105033;Sir-sir;81.07.06
