No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Salamahu;8103040001;Salamahu;81.01.11.2020
2;Haya;8103040002;Haya;81.01.11.2019
3;Tehoru;8103040003;Tehoru;81.01.11.2018
4;Saunulu;8103040004;Saunulu;81.01.11.2017
5;Yaputih;8103040005;Yaputih;81.01.11.2016
6;Piliana;8103040006;Piliana;81.01.11.2015
7;Hatu;8103040007;Hatu;81.01.11.2014
8;Hatumete;8103040008;Hatumete;81.01.11.2013
9;Mosso;8103040009;Mosso;81.01.11.2012
10;Telutih Baru;8103040010;Telutih Baru;81.01.11.2011
