No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Hote;8107041001;Hote;81.05.12.2001
2;Silohan;8107041002;Silohan;81.05.12.2008
3;Rukun Jaya;8107041003;Rukun Jaya;81.05.12.2010
4;Jembatan Basah;8107041004;Jembatan Basah;81.05.12.2011
5;Sumber Agung;8107041005;Sumber Agung;81.05.12.2009
6;Benggoi;8107041006;Banggoi;81.05.12.2002
7;Jakarta Baru;8107041007;Jakarta Baru;81.05.12.2007
8;Waiketam Baru;8107041008;Waiketam Baru;81.05.12.2004
9;Waimatakabu;8107041009;Waematakabo;81.05.12.2003
10;Waisamet;8107041010;Waisamet;81.05.12.2005
11;Aki Jaya;8107041011;Aki Jaya;81.05.12.2006
12;Banggoi Pancorang;8107041012;Banggoi Pancorang;81.05.12.2013
13;Dreamland Hills;8107041013;Dreamland Hills;81.05.12.2012
