No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tubir Masiwang;8107042001;Tubir Wasiwang;81.05.15.2008
2;Waru;8107042002;Waru;81.05.15.2001
3;Karay;8107042003;Karay;81.05.15.2005
4;Nama Lena;8107042004;Nama Lena;81.05.15.2006
5;Nama Andan;8107042005;Nama Andan;81.05.15.2007
6;Belis;8107042006;Bellis;81.05.15.2002
7;Solang;8107042007;Solang;81.05.15.2004
8;Kampung Baru;8107042008;Kampung Baru;81.05.15.2009
9;Dawang;8107042009;Dawang;81.05.15.2003
10;Madak;8107042010;Madak;81.05.15.2011
11;Boinfia;8107042011;Boinfia;81.05.15.2010
