No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Beber;5202090001;Beber;52.02.03.2008
2;Pagutan;5202090002;Pagutan;52.02.03.2009
3;Barabali;5202090003;Barabali;52.02.03.2007
4;Bujak;5202090004;Bujak;52.02.03.2001
5;Peresak;5202090005;Peresak;52.02.03.2003
6;Mantang;5202090006;Mantang;52.02.03.2004
7;Aik Dareq;5202090007;Aik Darek;52.02.03.2005
8;Selebung;5202090008;Selebung;52.02.03.2002
9;Tampak Siring;5202090009;Tampak Siring;52.02.03.2006
10;Mekar Bersatu;5202090010;Mekar Bersatu;52.02.03.2010
