No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Selong Belanak;5202010002;Selong Blanak;52.02.05.2007
2;Mekar Sari;5202010003;Mekar Sari;52.02.05.2008
3;Banyu Urip;5202010004;Banyu Urip;52.02.05.2002
4;Kateng;5202010005;Kateng;52.02.05.2004
5;Mangkung;5202010006;Mangkung;52.02.05.2003
6;Bondir;5202010007;Bonder;52.02.05.2001
7;Setanggor;5202010013;Setanggor;52.02.05.2005
8;Penujak;5202010014;Penujak;52.02.05.2006
9;Batujai;5202010015;Batujai;52.02.05.2009
10;Tanak Rarang;5202010016;Tanak Rarang;52.02.05.2010
