No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Halerman;5307020001;Halerman;53.05.03.2010
2;Margeta;5307020002;Margeta;53.05.03.2027
3;Manatang;5307020003;Manatang;53.05.03.2020
4;Tribur;5307020004;Tribur;53.05.03.2003
5;Kuifana;5307020005;Kuifana;53.05.03.2023
6;Wakapsir;5307020006;Wakapsir;53.05.03.2004
7;Wakapsir Timur;5307020007;Wakapsir Timur;53.05.03.2022
8;Kafelulang;5307020015;Kafelulang;53.05.03.2013
9;Pintu Mas;5307020016;Pintumas;53.05.03.2008
10;Orgen;5307020017;Orgen;53.05.03.2021
11;Probur;5307020018;Probur;53.05.03.2002
12;Probur Utara;5307020019;Probur Utara;53.05.03.2019
13;Wolwal Barat;5307020020;Wolwal Barat;53.05.03.2016
14;Wolwal Selatan;5307020021;Wolwal Selatan;53.05.03.2018
15;Wolwal Tengah;5307020022;Wolwal Tengah;53.05.03.2017
16;Wolwal;5307020023;Wolwal;53.05.03.2009
17;Moru;5307020024;Moru;53.05.03.1001
18;Moramam;5307020025;Moramam;53.05.03.2014
19;Morba;5307020026;Morba;53.05.03.2007
20;Pailelang;5307020027;Pailelang;53.05.03.2015
