No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mokantarak;5309030007;Mokantarak;53.06.03.2019
2;Lamawalang;5309030010;Lamawalang;53.06.03.2020
3;Waibalun;5309030011;Waibalun;53.06.03.1001
4;Lewolere;5309030012;Lewolere;53.06.03.1002
5;Pantai Besar;5309030013;Pantai Besar;53.06.03.1003
6;Larantuka;5309030014;Larantuka;53.06.03.1004
7;Balela;5309030015;Balela;53.06.03.1005
8;Pohon Sirih;5309030016;Pohon Sirih;53.06.03.1006
9;Lohayong;5309030017;Lohayong;53.06.03.1007
10;Lokea;5309030018;Lokea;53.06.03.1008
11;Postoh;5309030019;Postoh;53.06.03.1009
12;Amagarapati;5309030020;Amagarapati;53.06.03.1010
13;Ekasapta;5309030021;Ekasapta;53.06.03.1011
14;Puken Tobi Wangi Bao;5309030022;Pukentobi Wangin Bao;53.06.03.1014
15;Sarotari;5309030023;Sarotari;53.06.03.1012
16;Weri;5309030024;Weri;53.06.03.1013
17;Pohon Bao;5309030025;Pohon Bao;53.06.03.1022
18;Waihali;5309030026;Waihali;53.06.03.1021
19;Sarotari Tengah;5309030027;Sarotari Tengah;53.06.03.1023
20;Sarotari Timur;5309030028;Sarotari Timur;53.06.03.1024
