No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bone;5303111001;Bone;53.01.16.2008
2;Taloetan;5303111002;Taloetan;53.01.16.2009
3;Usapisonbai;5303111003;Usapi Sonbai;53.01.16.2004
4;Oepaha;5303111004;Oepaha;53.01.16.2007
5;Tasikona;5303111005;Tasikona;53.01.16.2002
6;Oenif;5303111006;Oenif;53.01.16.2005
7;Oemasi;5303111007;Oemasi;53.01.16.2003
8;Oelomin;5303111008;Oelomin;53.01.16.2001
9;Tunfeu;5303111009;Tunfeu;53.01.16.2006
10;Oben;5303111010;Oben;53.01.16.2010
11;Besmarak;5303111011;Bismarak;53.01.16.2011
