No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Panama;5308070001;Panama;53.13.07.2001
2;Bean;5308070002;Bean;53.13.07.2015
3;Benihading;5308070003;Benihading I;53.13.07.2002
4;Benihading Ii;5308070004;Benihading Ii;53.13.07.2016
5;Atulaleng;5308070005;Atulaleng;53.13.07.2003
6;Tubung Walang;5308070006;Tubung Walang;53.13.07.2018
7;Roho;5308070007;Roho;53.13.07.2004
8;Loyobohor;5308070008;Loyobohor;53.13.07.2005
9;Leuburi;5308070009;Leuburi;53.13.07.2006
10;Tobotani;5308070010;Tobotani;53.13.07.2017
11;Kalikur Wl;5308070011;Kalikur Wl.;53.13.07.2008
12;Kaohua;5308070012;Kaohua;53.13.07.2007
13;Umaleu;5308070013;Umaleu;53.13.07.2009
14;Buriwutung;5308070014;Buriwutung;53.13.07.2010
15;Mampir;5308070015;Mampir;53.13.07.2011
16;Leuwohung;5308070016;Leuwohung;53.13.07.2012
17;Bareng;5308070017;Bareng;53.13.07.2013
18;Kalikur;5308070018;Kalikur;53.13.07.2014
19;Rumang;5308070019;Rumang;53.13.07.2019
20;Atu Walupang;5308070020;Atu Wa'lupang;53.13.07.2020
