No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rabasa;5321020001;Rabasa;53.21.02.2011
2;Rabasa Haerain;5321020002;Rabasa Haerain;53.21.02.2012
3;Loofoun;5321020003;Loofoun;53.21.02.2010
4;Raimataus;5321020004;Raimataus;53.21.02.2015
5;Rabasahain;5321020005;Rabasahain;53.21.02.2006
6;Umalor;5321020006;Umalor;53.21.02.2007
7;Umatoos;5321020007;Umatoos;53.21.02.2005
8;Motaain;5321020008;Motaain;53.21.02.2013
9;Oan Mane;5321020009;Oan Mane;53.21.02.2014
10;Fafoe;5321020010;Fafoe;53.21.02.2003
11;Sikun;5321020011;Sikun;53.21.02.2002
12;Lasaen;5321020012;Lasaen;53.21.02.2004
13;Besikama;5321020013;Besikama;53.21.02.2008
14;Maktihan;5321020014;Maktihan;53.21.02.2009
15;Naas;5321020015;Naas;53.21.02.2016
16;Motaulun;5321020016;Motaulun;53.21.02.2001
