No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tanah Rata;5319020001;Tanah Rata;53.19.06.1017
2;Bamo;5319020002;Bamo;53.19.06.2014
3;Rongga Koe;5319020003;Rongga Koe;53.19.06.1002
4;Komba;5319020004;Komba;53.19.06.2013
5;Watu Nggene;5319020005;Watu Nggene;53.19.06.1001
6;Gunung Mute;5319020006;Gunung;53.19.06.2008
7;Rana Kolong;5319020007;Rana Kolong;53.19.06.2007
8;Mbengan;5319020008;Mbengan;53.19.06.2006
9;Lembur;5319020009;Lembur;53.19.06.2003
10;Ruan;5319020010;Ruan;53.19.06.2004
11;Pong Ruan;5319020011;Pong Ruan;53.19.06.2015
12;Golo Tolang;5319020012;Golo Tolang;53.19.06.2005
13;Paan Leleng;5319020013;Paan Leleng;53.19.06.2016
14;Mokel;5319020014;Mokel;53.19.06.2009
15;Golomeni;5319020015;Golo Meni;53.19.06.2010
16;Rana Mbeling;5319020016;Rana Mbeling;53.19.06.2011
17;Golo Nderu;5319020017;Golo Nderu;53.19.06.2012
18;Gunung Baru;5319020018;Gunung Baru;53.19.06.2022
19;Golon Dele;5319020019;Golo Ndele;53.19.06.2021
20;Mokel Morid;5319020020;Mokel Morid;53.19.06.2019
21;Rana Mbata;5319020021;Rana Mbata;53.19.06.2018
22;Watu Pari;5319020022;Pari;53.19.06.2020
