No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bea Ngencung;5319011001;Bea Ngencung;53.19.07.2001
2;Satar Lahing;5319011002;Satar Lahing;53.19.07.2002
3;Golo Meleng;5319011003;Golo Meleng;53.19.07.2010
4;Golo Rutuk;5319011004;Golo Rutuk;53.19.07.2009
5;Golo Loni;5319011005;Golo Loni;53.19.07.2007
6;Sita;5319011006;Sita;53.19.07.2008
7;Torok Golo;5319011007;Torok Golo;53.19.07.2003
8;Golo Ros;5319011008;Golo Ros;53.19.07.2004
9;Sano Lokom;5319011009;Sano Lokom;53.19.07.2006
10;Rondo Woing;5319011010;Rondo Woing;53.19.07.2005
11;Lidi;5319011011;Lidi;53.19.07.2017
12;Satar Lenda;5319011012;Satar Lenda;53.19.07.2016
13;Lalang;5319011013;Lalang;53.19.07.2019
14;Wae Nggori;5319011014;Wae Nggori;53.19.07.2011
15;Compang Kantar;5319011015;Compang Kantar;53.19.07.2012
16;Bangka Kempo;5319011016;Bangka Kempo;53.19.07.2014
17;Compang Teber;5319011017;Compang Teber;53.19.07.2015
18;Compang Loni;5319011018;Compang Loni;53.19.07.2020
19;Compang Kempo;5319011019;Compang Kempo;53.19.07.2021
20;Watu Mori;5319011020;Watu Mori;53.19.07.2013
21;Bangka Masa;5319011021;Bangka Masa;53.19.07.2018
