No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Compang Congkar;5319040001;Compang Congkar;53.19.04.2008
2;Rana Mese;5319040002;Rana Mese;53.19.04.2006
3;Satar Nawang;5319040003;Satar Nawang;53.19.04.2005
4;Golo Ngawan;5319040004;Golo Ngawan;53.19.04.2004
5;Buti;5319040005;Buti;53.19.04.2003
6;Golo Wangkung;5319040006;Golo Wangkung;53.19.04.1010
7;Lada Mese;5319040007;Lada Mese;53.19.04.2007
8;Nanga Baras;5319040008;Nanga Baras;53.19.04.1011
9;Nanga Mbaling;5319040009;Nanga Mbaling;53.19.04.2002
10;Pota;5319040010;Pota;53.19.04.1009
11;Nanga Mbaur;5319040011;Nanga Baur;53.19.04.2001
12;Compang Lawi;5319040012;Compang Lawi;53.19.04.2016
13;Wea;5319040013;Wea;53.19.04.2017
14;Golo Pari;5319040014;Golo Pari;53.19.04.2015
15;Golo Wangkung Barat;5319040015;Golo Wangkung Barat;53.19.04.1019
16;Golo Wangkung Utara;5319040016;Golo Wangkung Utara;53.19.04.1020
17;Kembang Mekar;5319040017;Kembang Mekar;53.19.04.2013
18;Wela Lada;5319040018;Wela Lada;53.19.04.2014
19;Ulung Baras;5319040019;Ulung Baras;53.19.04.1018
20;Nampar Sepang;5319040020;Nampar Sepang;53.19.04.2012
