No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tarawaja;5312071001;Tarawaja;53.09.07.2007
2;Loa;5312071002;Loa;53.09.07.2006
3;Mengeruda;5312071003;Mangeruda;53.09.07.2010
4;Piga;5312071004;Piga;53.09.07.2005
5;Masu;5312071005;Masumeli;53.09.07.2004
6;Seso;5312071006;Seso;53.09.07.2008
7;Waepana;5312071007;Waepana;53.09.07.2001
8;Masu Kedhi;5312071008;Masu Kedhi;53.09.07.2011
9;Ngabheo;5312071009;Ngabheo;53.09.07.2014
10;Libunio;5312071010;Libunio;53.09.07.2012
11;Meli Waru;5312071011;Meli Waru;53.09.07.2013
12;Tarawali;5312071012;Tarawali;53.09.07.2018
13;Bogoboa;5312071013;Bogoboa;53.09.07.2016
14;Piga I;5312071014;Piga;53.09.07.2005
