No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ramma Dana;5317080007;Rama Dana;53.18.01.2009
2;Karuni;5317080008;Karuni;53.18.01.2003
3;Totok;5317080009;Totok;53.18.01.2004
4;Wee Manada;5317080010;Wee Mananda;53.18.01.2010
5;Lete Konda;5317080011;Lete Konda;53.18.01.2002
6;Bondo Boghila;5317080012;Bondo Boghila;53.18.01.2001
7;Wee Kambala;5317080013;Wee Kambala;53.18.01.2015
8;Payola Umbu;5317080014;Payola Umbu;53.18.01.2014
9;Pogo Tena;5317080015;Pogo Tena;53.18.01.2013
10;Loka Kalada;5317080016;Loko Kalada;53.18.01.2016
11;Lete Konda Selatan;5317080017;Lete Konda Selatan;53.18.01.2017
