No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wano Talla;5317070001;Wano Talla;53.18.02.2002
2;Wee Paboba;5317070002;Wee Paboba;53.18.02.2003
3;Mataloko;5317070003;Mata Loko;53.18.02.2004
4;Puu Potto;5317070004;Puu Potto;53.18.02.2006
5;Wee Namba;5317070005;Wee Namba;53.18.02.2005
6;Mali Mada;5317070006;Mali Mada;53.18.02.2001
7;Mawo Maliti;5317070007;Mawo Maliti;53.18.02.2012
8;Jela Manu;5317070008;Djela Manu;53.18.02.2011
9;Bodo Ponda;5317070009;Bodo Ponda;53.18.02.2007
10;Pandua Tana;5317070010;Pandua Tana;53.18.02.2010
11;Odi Paurata;5317070011;Odi Paurata;53.18.02.2009
12;Reda Wano;5317070012;Reda Wano;53.18.02.2008
