No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wee Luri;5316040001;Wee Luri;53.17.03.2006
2;Wendewa Barat;5316040002;Wendewa Barat;53.17.03.2004
3;Ole Ate;5316040003;Ole Ate;53.17.03.2007
4;Cendana;5316040004;Cendana;53.17.03.2005
5;Wendewa Selatan;5316040005;Wendewa Selatan;53.17.03.2002
6;Wendewa Utara;5316040006;Wendewa Utara;53.17.03.2003
7;Manu Wolu;5316040007;Manu Wolu;53.17.03.2008
8;Wendewa Timur;5316040008;Wendewa Timur;53.17.03.2001
9;Watu Asa;5316040009;Watu Asa;53.17.03.2009
10;Bondo Sulla;5316040010;Bondo Sulla;53.17.03.2010
11;Susu Wendewa;5316040011;Susu Wendewa;53.17.03.2011
12;Ole Dewa;5316040012;Ole Dewa;53.17.03.2012
13;Cendana Barat;5316040013;Cendana Barat;53.17.03.2013
