No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kusi;5304060004;Kusi;53.02.11.2006
2;Kuanfatu;5304060005;Kuanfatu;53.02.11.2007
3;Kelle;5304060006;Kelle;53.02.11.2008
4;Basmuti;5304060007;Basmuti;53.02.11.2005
5;Kakan;5304060008;Kakan;53.02.11.2003
6;Lasi;5304060009;Lasi;53.02.11.2002
7;Olais;5304060010;Olais;53.02.11.2001
8;Kusi Utara;5304060011;Kusi Utara;53.02.11.2011
9;Kelle Tunan;5304060012;Kelle Tunan;53.02.11.2012
10;Taupi;5304060013;Taupi;53.02.11.2009
11;Oebo;5304060014;Oebo;53.02.11.2010
12;Oehan;5304060015;Oehan;53.02.11.2014
13;Noebeba;5304060016;Noebeba;53.02.11.2013
