No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Subun;5305042001;Subun;53.03.20.2001
2;Lapeom;5305042002;Lapeom;53.03.20.2003
3;Usapinonot;5305042003;Usapinonot;53.03.20.2002
4;Atmen;5305042004;Atmen;53.03.20.1006
5;Atmen;5305042004;Atmen;53.03.20.2007
6;Letneo;5305042005;Letneo;53.03.20.2004
7;Banae;5305042006;Bannae;53.03.20.2005
8;Desa Admen;5305042007;---;---
9;Subun Bestobe;5305042008;Subun Bestobe;53.03.20.2011
10;Subun Tualele;5305042009;Subun Tualele;53.03.20.2012
11;Nifunenas;5305042010;Nifunenas;53.03.20.2010
12;Oabikase;5305042011;Oabikase;53.03.20.2009
13;Letneo Selatan;5305042012;Letneo Selatan;53.03.20.2008
