No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kusmenau;9112010001;Kusmenau;92.12.05.2008
2;Sneraner;9112010002;Sneremer;92.12.05.2007
3;Cirnohu;9112010003;Cirnohu;92.12.05.2002
4;Disra;9112010004;Disra;92.12.05.2014
5;Dibetik;9112010005;Dibetik;92.12.05.2003
6;Danmou;9112010006;Danmou;92.12.05.2004
7;Sirgemeih;9112010007;Sirgemeh;92.12.05.2006
8;Demdanei;9112010008;Demdamei;92.12.05.2012
9;Iranmeba;9112010009;Iranmeba;92.12.05.2001
10;Gedeira;9112010010;Gedeira;92.12.05.2011
11;Dugrimog;9112010011;Dugrimog;92.12.05.2013
12;Cigera;9112010012;Cigera;92.12.05.2009
13;Tomsir;9112010013;Tomstir;92.12.05.2010
14;Miseda;9112010014;Miseda;92.12.05.2005
