No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Waru;9109100001;Waru;92.09.12.2004
2;Bawey;9109100002;Bawey;92.09.12.2002
3;Arfu;9109100003;Arfu;92.09.12.2001
4;Warsnembri;9109100004;Wasnembri;92.09.12.2003
5;Bereambeker _ Meriambeker;9109100005;Meriambeker;92.09.12.2006
6;Atori;9109100006;Atori;92.09.12.2005
7;Bijamfou;9109100007;Bijamfou;92.09.12.2007
8;Warokon;9109100008;Warokon;92.09.12.2015
9;Arekon;9109100009;Arekon;92.09.12.2016
10;Bonpaya;9109100010;Bonpaya;92.09.12.2017
11;Marbuan;9109100011;Marbuan;92.09.12.2018
