No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Fef;9109010;Fef;92.09.01
2;Syujak;9109011;Syujak;92.09.07
3;Ases;9109012;Ases;92.09.15
4;Tinggouw;9109013;Tinggouw;92.09.20
5;Miyah;9109020;Miyah;92.09.02
6;Miyah Selatan;9109021;Miyah Selatan;92.09.16
7;Ireres;9109022;Ireres;92.09.17
8;Wilhem Roumbouts;9109023;Wilhem Roumbouts;92.09.19
9;Abun;9109030;Abun;92.09.06
10;Kwoor;9109040;Kwoor;92.09.04
11;Tobouw;9109041;Tobouw;92.09.18
12;Kwesefo;9109042;Kwesefo;92.09.21
13;Sausapor;9109050;Sausapor;92.09.05
14;Bikar;9109051;Bikar;92.09.13
15;Yembun;9109060;Yembun;92.09.03
16;Bamusbama;9109061;Bamusbama;92.09.14
17;Kebar;9109070;Kebar;92.09.09
18;Kebar Timur;9109071;Kebar Timur;92.09.23
19;Kebar Selatan;9109072;Kebar Selatan;92.09.24
20;Manekar;9109073;Manekar;92.09.25
21;Senopi;9109080;Senopi;92.09.11
22;Mawabuan;9109081;Mawabuan;92.09.22
23;Amberbaken;9109090;Amberbaken;92.09.10
24;Mpur;9109091;Mpur;92.09.26
25;Amberbaken Barat;9109092;Amberbaken Barat;92.09.27
26;Mubrani _ Arfu;9109100;Mubrani;92.09.12
27;Mubrani _ Arfu;9109100;Kasi;92.09.28
28;Moraid;9109110;Moraid;92.09.08
29;Selemkai;9109111;Selemkai;92.09.29
