No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Beriten;9415060001;Briten;91.18.01.2008
2;Uwus;9415060002;Uwus;91.18.01.2002
3;Per;9415060003;Per;91.18.01.2007
4;Yomoth;9415060004;Yomoth;91.18.01.2001
5;Asuwetsy;9415060005;Asuwetsy;91.18.01.2004
6;Bis Agats;9415060006;Bis Agats;91.18.01.2006
7;Bismam;9415060007;Bisman;91.18.01.2005
8;Mbait;9415060010;Mbait;91.18.01.2010
9;Bou;9415060011;Bou;91.18.01.2011
10;Kaye;9415060012;Kaye;91.18.01.2013
11;Suwru;9415060013;Suwru;91.18.01.2014
12;Saw;9415060014;Saw;91.18.01.2012
