No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Agisiga;9435040001;Agisiga;91.27.05.2001
2;Tousiga;9435040002;Tousiga;91.27.05.2002
3;Unabundaga;9435040005;Unabundoga;91.27.05.2003
4;Mbamogo;9435040006;Mbamogo;91.27.05.2004
5;Soali;9435040007;Soali;91.27.05.2006
6;Danggoa;9435040008;Danggoa;91.27.05.2009
7;Kombogisiga;9435040010;Kombogosiga;91.27.05.2010
8;Tembage;9435040011;Tambage;91.27.05.2007
9;Janasiga;9435040014;Jawasiga;91.27.08.2007
10;Tomosiga;9435041001;Tomosiga;91.27.08.2001
11;Dapiaga;9435041002;Dapiaga;91.27.08.2003
12;Bigasiga;9435041003;Bigasiga;91.27.08.2002
