No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Banawa;9408060010;Banawa;91.05.01.2015
2;Serui Laut;9408060011;Serui Laut;91.05.01.2014
3;Pasir Putih;9408060012;Pasir Putih;91.05.01.2020
4;Pasir Hitam;9408060013;Pasir Hitam;91.05.01.2019
5;Tarau;9408060014;Tarau;91.05.01.1004
6;Serui Kota;9408060015;Serui Kota;91.05.01.1005
7;Serui Jaya;9408060016;Serui Jaya;91.05.01.1006
8;Turu;9408060017;Turu;91.05.01.2017
9;Barawaikap;9408060026;Barawaikap;91.05.01.2026
10;Nundawipi;9408060027;Nundawipi;91.05.01.2028
11;Bawai;9408060028;Bawai;91.05.01.2027
12;Manaini;9408060029;Manaini;91.05.01.2023
13;Imandoa;9408060030;Imandoa;91.05.01.2024
