No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;W A B O;9408040009;Wabo;91.05.03.2010
2;Korombobi;9408040010;Korombobi;91.05.03.2004
3;Wonsyupi;9408040011;Woinsupi;91.05.03.2023
4;Wabompi;9408040012;Wabompi;91.05.03.2031
5;Nunsembai;9408040013;Nunsembai;91.05.03.2014
6;Mereruni;9408040014;Mareruni;91.05.03.2025
7;Dawai;9408040015;Dawai;91.05.03.2005
8;Awunawai;9408040016;Awunawai;91.05.03.2024
9;Nunsyiari;9408040017;Nunsiari;91.05.03.2015
10;Sere Sere;9408040018;Sere Sere;91.05.03.2037
11;Duai;9408040019;Duai;91.05.03.2036
