No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tologi;9430081001;Talogi;91.23.35.2003
2;Kelulome;9430081002;Kelulome;91.23.35.2001
3;Wiyagi;9430081003;Wiyagi;91.23.35.2002
4;Wegenpura;9430081004;Wegenpura;91.23.35.2005
5;Ilunggijime;9430081005;Ilunggijime;91.23.35.2006
6;Juyiga;9430081006;Juyiga;91.23.35.2007
7;Wiringgame;9430081007;Wiringgame;91.23.35.2004
8;Lewinagi;9430081008;Lewinagi;91.23.35.2010
9;Peragime;9430081009;Peragime;91.23.35.2008
10;Muluneri;9430081010;Muluneri;91.23.35.2009
