No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Makki;9430010;Makki;91.23.03
2;Gupura;9430011;Gupura;91.23.27
3;Kolawa;9430012;Kolawa;91.23.28
4;Gelok Beam;9430013;Gelok Beam;91.23.29
5;Awina;9430014;Awina;91.23.21
6;Kully Lanny;9430015;Kuly Lanny;91.23.30
7;Pirime;9430020;Pirime;91.23.02
8;Buguk Gona;9430021;Buguk Gona;91.23.38
9;Milimbo;9430022;Milimbo;91.23.18
10;Gollo;9430023;Gollo;91.23.20
11;Wiringgabut;9430024;Wiringgambut;91.23.19
12;Tiom;9430030;Tiom;91.23.01
13;Nogi;9430031;Nogi;91.23.12
14;Mokoni;9430032;Mokoni;91.23.16
15;Niname;9430033;Niname;91.23.11
16;Yiginua;9430034;Yiginua;91.23.13
17;Tiom Ollo;9430035;Tiom Ollo;91.23.14
18;Yugungwi;9430036;Yugungwi;91.23.15
19;Lannyna;9430037;Lannyna;91.23.31
20;Balingga;9430040;Goa Balim;91.23.24
21;Balingga;9430040;Balingga;91.23.07
22;Balingga Barat;9430041;Balingga Barat;91.23.26
23;Bruwa;9430042;Bruwa;91.23.25
24;Ayumnati;9430043;Ayumnati;91.23.22
25;Goa Balim;9430044;Goa Balim;91.23.24
26;Goa Balim;9430044;Balingga;91.23.07
27;Kuyawage;9430050;Kuyawage;91.23.09
28;Wano Barat;9430051;Wano Barat;91.23.23
29;Malagaineri;9430060;Melagineri;91.23.06
30;Melagai;9430061;Melagi;91.23.39
31;Tiomneri;9430070;Tiomneri;91.23.08
32;Wereka;9430071;Wereka;91.23.17
33;Dimba;9430080;Dimba;91.23.05
34;Kelulome;9430081;Kelulome;91.23.35
35;Nikogwe;9430082;Nikogwe;91.23.36
36;Gamelia;9430090;Gamelia;91.23.04
37;Karu;9430091;Karu;91.23.32
38;Yiluk;9430092;Yiluk;91.23.33
39;Guna;9430093;Guna;91.23.34
40;Poga;9430100;Poga;91.23.10
41;Muara;9430101;Muara;91.23.37
