No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bonom;9430037001;Bonom;91.23.31.2001
2;Laurapaga;9430037002;Laurapaga;91.23.31.2007
3;Bawi;9430037003;Bawi;91.23.31.2008
4;Ogin;9430037004;Ogin;91.23.31.2011
5;Kemiulume;9430037005;Kumulume;91.23.31.2003
6;Yugimbo;9430037006;Yugimbo;91.23.31.2009
7;Tinggini;9430037007;Tinggini;91.23.31.2010
8;Kuwanom;9430037008;Kuwanom;91.23.31.2002
9;Kuwoge;9430037009;Kuwoge;91.23.31.2006
10;Uwagambur;9430037010;Uwagambur;91.23.31.2004
11;Lagame;9430037011;Lagame;91.23.31.2005
