No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mogonik;9431040001;Mogonik;91.21.03.2002
2;Kino;9431040002;Kino;91.21.03.2004
3;Ayeki;9431040003;Ayeki;91.21.03.2005
4;Mologi;9431040004;Moligi;91.21.03.2011
5;Yabendili;9431040005;Yabendili;91.21.03.2010
6;Winima;9431040006;Winima;91.21.03.2001
7;Arsbol;9431040007;Arsbol;91.21.03.2009
8;Wanilok_yelam;9431040008;Wanilok;91.21.03.2015
9;Pagale;9431040009;Pagale;91.21.03.2008
10;Enggaima;9431040010;Enggama;91.21.03.2006
11;Enggaima;9431040010;Engaima;91.21.03.2013
12;Enggama;9431040011;Enggama;91.21.03.2006
13;Winam;9431040012;Winam;91.21.03.2003
14;Kugap;9431040013;Kugab;91.21.03.2012
15;Erageam;9431040014;Erageam;91.21.03.2014
16;Wurigelebur;9431040015;Wurigelobar;91.21.03.2007
