No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bogobaida _ Bogodide;9410090003;Bogobaida;91.08.07.2001
2;Nawipawo;9410090004;Nawipauwo;91.08.07.2002
3;Piyamo;9410090006;Miyamo;91.08.31.2006
4;Madou;9410090017;Bogobaida;91.08.07.2001
5;Uwagi;9410091001;Uwagi;91.08.29.2002
6;Ipouwo;9410091002;Ipouwa;91.08.29.2003
7;Nomouwodide;9410092001;Nomouwodide;91.08.30.2001
8;Pikokebo;9410092002;Nomouwodide;91.08.30.2001
9;Bayabiru;9410092003;Nomouwodide;91.08.30.2001
10;Jigitopa Timur;9410092004;Nomouwodide;91.08.30.2001
11;Maatadi;9410092005;Nomouwodide;91.08.30.2001
12;Pupekebo;9410092006;Nomouwodide;91.08.30.2001
